Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
74, 8, 6, 상비군 규모가 작은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
74, 8, 1, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    9.0
75, 1, 8, 당신에 대한 첫인상, Update,    0.0
75, 2, 4, 당신에 대한 적대감, Activate,  -26.0,  -26.0,    1.0, 0, 2,   -1.0
75, 4, 5, 영토가 넓은 제국 존중, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
75, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -13.0,  -13.0,    1.0, 0, 0,    1.0
75, 6, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -13.0,  -13.0,    1.0, 0, 0,    1.0
75, 6, 1, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Update,    3.0
75, 6, 9, 당신이 주변 문명과의 평화를 유지하여 로버트 1세가 기뻐함, Update,    4.0
75, 8, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -13.0,  -13.0,    1.0, 0, 0,    1.0
76, 1, 6, 당신에 대한 첫인상, Update,    0.0
76, 2, 4, 당신에 대한 적대감, Activate,  -24.0,  -24.0,    1.0, 0, 2,   -1.0
76, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -12.0,  -12.0,    1.0, 0, 0,    1.0
76, 5, 0, 함무라비는 특수지구를 많이 보유하지 않았거나 한 가지 유형에 특화된 문명을 싫어합니다., Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
76, 6, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -12.0,  -12.0,    1.0, 0, 0,    1.0
76, 6, 2, 당신에 대한 첫인상, Update,   -1.0
76, 8, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -12.0,  -12.0,    1.0, 0, 0,    1.0
76, 8, 6, 찬드라굽타는 당신의 제국이 자신의 제국 근처에 있어 불쾌함, Activate,   -5.0,  -25.0,   -1.0, 10, 0,    1.0
76, 9, 6, 인구가 적은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
77, 0, 3, 당신의 불가사의 수가 적어 기뻐함, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
