Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
103, Granted to Player, GREAT_PERSON_INDIVIDUAL_BOUDICA, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, 3, 103
103, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_AETHELFLAED, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 120, -1, -1
107, Granted to Player, GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, 5, 107
107, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, -1, -1
107, Granted to Player, GREAT_PERSON_INDIVIDUAL_HIMERIOS, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, 9, 107
107, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHENG_HE, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, -1, -1
108, Granted to Player, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, 4, 108
108, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, -1, -1
108, Great Person Activated, GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
109, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, Era TBD, 4
109, Granted to Player, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, 6, 109
109, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, -1, -1
110, Great Person Activated, GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
110, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
111, Great Person Activated, GREAT_PERSON_INDIVIDUAL_LI_BAI, GREAT_PERSON_CLASS_WRITER, Era TBD, 4
111, Granted to Player, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 610, 6, 111
111, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
111, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RUMI, GREAT_PERSON_CLASS_WRITER, Era TBD, 6
111, Great Person Activated, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 6
111, Granted to Player, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 8, 111
111, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
111, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ISAAC_NEWTON, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 8
112, Granted to Player, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 2, 112
112, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, -1, -1
112, Granted to Player, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 310, 3, 112
112, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JAMES_YOUNG, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 1075, -1, -1
113, Great Person Activated, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 3
115, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZHENG_HE, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, 0, 115
115, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, -1, -1
115, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 6
116, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ZHENG_HE, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 0
117, Granted to Player, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 120, 9, 117
117, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 310, -1, -1
117, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, Era TBD, 9
118, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MURASAKI_SHIKIBU, GREAT_PERSON_CLASS_WRITER, Era TBD, 9
119, Granted to Player, GREAT_PERSON_INDIVIDUAL_RAJENDRA_CHOLA, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, 1, 119
119, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, -1, -1
121, Granted to Player, GREAT_PERSON_INDIVIDUAL_LEIF_ERIKSON, GREAT_PERSON_CLASS_ADMIRAL, ERA_MEDIEVAL, 120, 8, 121
121, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_FERDINAND_MAGELLAN, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 310, -1, -1
124, Granted to Player, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 120, 4, 124
124, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 120, -1, -1
125, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 4
126, Granted to Player, GREAT_PERSON_INDIVIDUAL_AETHELFLAED, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 120, 5, 126
126, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_TIMUR, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 120, -1, -1
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_EMILIE_DU_CHATELET, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 4
127, Great Person Activated, GREAT_PERSON_INDIVIDUAL_AETHELFLAED, GREAT_PERSON_CLASS_GENERAL, Era TBD, 5
128, Great Person Activated, GREAT_PERSON_INDIVIDUAL_SUN_TZU, GREAT_PERSON_CLASS_GENERAL, Era TBD, 4
128, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 4
132, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HANNO_THE_NAVIGATOR, GREAT_PERSON_CLASS_ADMIRAL, Era TBD, 4
136, Granted to Player, GREAT_PERSON_INDIVIDUAL_TIMUR, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 120, 4, 136
136, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOAN_OF_ARC, GREAT_PERSON_CLASS_GENERAL, ERA_RENAISSANCE, 240, -1, -1
143, Granted to Player, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 120, 1, 143
143, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 240, -1, -1
144, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 1
144, Granted to Player, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, 2, 144
144, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_KAMAL_UD_DIN_BEHZAD, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, -1, -1
145, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, Era TBD, 2
146, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, Era TBD, 2
147, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, Era TBD, 2
147, Granted to Player, GREAT_PERSON_INDIVIDUAL_JAMES_YOUNG, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 1075, 4, 147
147, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 545, -1, -1
147, Granted to Player, GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 545, 5, 147
147, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CHARLES_DARWIN, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 545, -1, -1
147, Great Person Activated, GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 5
147, Granted to Player, GREAT_PERSON_INDIVIDUAL_CHARLES_DARWIN, GREAT_PERSON_CLASS_SCIENTIST, ERA_INDUSTRIAL, 545, 6, 147
147, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ALBERT_EINSTEIN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MODERN, 1685, -1, -1
