[2022-04-03 13:06:47]	,----- FRAME: 11145 time: 1.77ms Moving avg: 16.26ms 131 frames since last 
[2022-04-03 13:06:49]	,                    UIManager_ProcessInput, 17.54 ms
[2022-04-03 13:06:49]	,----- FRAME: 11236 time: 8.40ms Moving avg: 16.12ms 92 frames since last 
[2022-04-03 13:06:50]	,        UIManager_ProcessInput, 127.58 ms
[2022-04-03 13:06:50]	,----- FRAME: 11304 time: 2.05ms Moving avg: 15.73ms 69 frames since last 
[2022-04-03 13:06:50]	,    UIManager_ProcessInput, 16.84 ms
[2022-04-03 13:06:50]	,----- FRAME: 11339 time: 4.88ms Moving avg: 8.87ms 36 frames since last 
[2022-04-03 13:06:51]	,        UIManager_ProcessInput, 122.46 ms
[2022-04-03 13:06:51]	,----- FRAME: 11373 time: 1.97ms Moving avg: 8.64ms 35 frames since last 
[2022-04-03 13:06:51]	,                UIManager_ProcessInput, 15.36 ms
[2022-04-03 13:06:51]	,----- FRAME: 11404 time: 3.18ms Moving avg: 8.46ms 32 frames since last 
[2022-04-03 13:06:52]	,                UIManager_ProcessInput, 131.28 ms
[2022-04-03 13:06:52]	,----- FRAME: 11445 time: 2.28ms Moving avg: 10.40ms 42 frames since last 
[2022-04-03 13:06:53]	,UIManager_ProcessInput, 506.95 ms
[2022-04-03 13:06:54]	,UIManager_ProcessInput, 508.86 ms
[2022-04-03 13:06:54]	,UIManager_ProcessInput, 501.70 ms
[2022-04-03 13:06:54]	,----- FRAME: 11483 time: 3.94ms Moving avg: 10.56ms 39 frames since last 
[2022-04-03 13:06:56]	,            UIManager_ProcessInput, 498.15 ms
[2022-04-03 13:06:57]	,            UIManager_ProcessInput, 512.62 ms
[2022-04-03 13:06:57]	,----- FRAME: 11556 time: 21.58ms Moving avg: 11.75ms 74 frames since last 
[2022-04-03 13:06:58]	,                UIManager_ProcessInput, 510.04 ms
[2022-04-03 13:06:58]	,----- FRAME: 11601 time: 2.12ms Moving avg: 12.30ms 46 frames since last 
[2022-04-03 13:06:59]	,UIManager_ProcessInput, 493.32 ms
[2022-04-03 13:07:00]	,UIManager_ProcessInput, 495.17 ms
[2022-04-03 13:07:00]	,UIManager_ProcessInput, 503.52 ms
[2022-04-03 13:07:00]	,----- FRAME: 11676 time: 2.21ms Moving avg: 11.52ms 76 frames since last 
[2022-04-03 13:07:01]	,UIManager_ProcessInput, 199.84 ms
[2022-04-03 13:07:01]	,----- FRAME: 11710 time: 1.81ms Moving avg: 10.55ms 35 frames since last 
[2022-04-03 13:07:02]	,        UIManager_ProcessInput, 473.07 ms
[2022-04-03 13:07:02]	,----- FRAME: 11756 time: 12.14ms Moving avg: 8.49ms 47 frames since last 
[2022-04-03 13:07:03]	,    UIManager_ProcessInput, 460.81 ms
[2022-04-03 13:07:03]	,----- FRAME: 11766 time: 1.92ms Moving avg: 8.18ms 11 frames since last 
[2022-04-03 13:07:04]	,    UIManager_ProcessInput, 463.59 ms
[2022-04-03 13:07:04]	,----- FRAME: 11775 time: 1.97ms Moving avg: 6.56ms 10 frames since last 
[2022-04-03 13:07:08]	,UIManager_ProcessInput, 487.43 ms
[2022-04-03 13:07:08]	,----- FRAME: 12006 time: 15.30ms Moving avg: 16.29ms 232 frames since last 
[2022-04-03 13:07:09]	,UIManager_ProcessInput, 121.73 ms
[2022-04-03 13:07:09]	,----- FRAME: 12091 time: 2.17ms Moving avg: 16.07ms 86 frames since last 
[2022-04-03 13:07:10]	,    UIManager_ProcessInput, 18.04 ms
[2022-04-03 13:07:10]	,----- FRAME: 12127 time: 5.95ms Moving avg: 9.59ms 37 frames since last 
[2022-04-03 13:07:11]	,        UIManager_ProcessInput, 123.15 ms
[2022-04-03 13:07:11]	,----- FRAME: 12164 time: 2.17ms Moving avg: 10.45ms 38 frames since last 
[2022-04-03 13:07:11]	,UIManager_ProcessInput, 17.88 ms
[2022-04-03 13:07:11]	,----- FRAME: 12215 time: 4.76ms Moving avg: 8.99ms 52 frames since last 
[2022-04-03 13:07:12]	,    UIManager_ProcessInput, 123.56 ms
[2022-04-03 13:07:12]	,----- FRAME: 12253 time: 1.93ms Moving avg: 13.20ms 39 frames since last 
[2022-04-03 13:07:13]	,UIManager_ProcessInput, 17.59 ms
[2022-04-03 13:07:13]	,----- FRAME: 12282 time: 3.50ms Moving avg: 8.89ms 30 frames since last 
[2022-04-03 13:07:13]	,        UIManager_ProcessInput, 123.99 ms
[2022-04-03 13:07:13]	,----- FRAME: 12311 time: 1.82ms Moving avg: 8.20ms 30 frames since last 
[2022-04-03 13:07:14]	,    UIManager_ProcessInput, 16.05 ms
[2022-04-03 13:07:14]	,----- FRAME: 12336 time: 3.47ms Moving avg: 7.11ms 26 frames since last 
[2022-04-03 13:07:15]	,        UIManager_ProcessInput, 128.36 ms
[2022-04-03 13:07:15]	,----- FRAME: 12391 time: 2.26ms Moving avg: 12.65ms 56 frames since last 
[2022-04-03 13:07:15]	,    UIManager_ProcessInput, 17.07 ms
[2022-04-03 13:07:15]	,----- FRAME: 12418 time: 5.75ms Moving avg: 10.85ms 28 frames since last 
[2022-04-03 13:07:16]	,UIManager_ProcessInput, 124.59 ms
[2022-04-03 13:07:16]	,----- FRAME: 12443 time: 2.22ms Moving avg: 9.30ms 26 frames since last 
[2022-04-03 13:07:16]	,    UIManager_ProcessInput, 17.34 ms
[2022-04-03 13:07:16]	,----- FRAME: 12465 time: 4.14ms Moving avg: 6.87ms 23 frames since last 
[2022-04-03 13:07:18]	,    UIManager_ProcessInput, 125.24 ms
[2022-04-03 13:07:18]	,----- FRAME: 12564 time: 1.83ms Moving avg: 16.07ms 100 frames since last 
[2022-04-03 13:07:18]	,    UIManager_ProcessInput, 18.30 ms
[2022-04-03 13:07:18]	,----- FRAME: 12586 time: 8.09ms Moving avg: 11.16ms 23 frames since last 
[2022-04-03 13:07:19]	,    UIManager_ProcessInput, 127.77 ms
[2022-04-03 13:07:19]	,----- FRAME: 12613 time: 2.26ms Moving avg: 8.08ms 28 frames since last 
[2022-04-03 13:07:19]	,        UIManager_ProcessInput, 17.68 ms
[2022-04-03 13:07:19]	,----- FRAME: 12654 time: 3.31ms Moving avg: 8.99ms 42 frames since last 
[2022-04-03 13:07:20]	,    UIManager_ProcessInput, 126.06 ms
[2022-04-03 13:07:20]	,----- FRAME: 12709 time: 2.18ms Moving avg: 14.60ms 56 frames since last 
[2022-04-03 13:07:21]	,    UIManager_ProcessInput, 21.00 ms
[2022-04-03 13:07:21]	,----- FRAME: 12745 time: 8.74ms Moving avg: 9.00ms 37 frames since last 
[2022-04-03 13:07:21]	,        UIManager_ProcessInput, 133.23 ms
[2022-04-03 13:07:21]	,----- FRAME: 12766 time: 2.11ms Moving avg: 7.01ms 22 frames since last 
[2022-04-03 13:07:23]	,UIManager_ProcessInput, 19.81 ms
[2022-04-03 13:07:23]	,----- FRAME: 12894 time: 3.05ms Moving avg: 16.18ms 129 frames since last 
[2022-04-03 13:07:24]	,        UIManager_ProcessInput, 127.27 ms
[2022-04-03 13:07:24]	,----- FRAME: 12919 time: 1.83ms Moving avg: 14.40ms 26 frames since last 
[2022-04-03 13:07:24]	,    UIManager_ProcessInput, 19.16 ms
[2022-04-03 13:07:24]	,----- FRAME: 12950 time: 2.92ms Moving avg: 9.47ms 32 frames since last 
[2022-04-03 13:07:25]	,    UIManager_ProcessInput, 132.31 ms
[2022-04-03 13:07:25]	,----- FRAME: 13008 time: 2.07ms Moving avg: 14.39ms 59 frames since last 
[2022-04-03 13:07:26]	,    UIManager_ProcessInput, 19.47 ms
[2022-04-03 13:07:26]	,----- FRAME: 13035 time: 3.49ms Moving avg: 10.81ms 28 frames since last 
[2022-04-03 13:07:26]	,    UIManager_ProcessInput, 128.62 ms
[2022-04-03 13:07:26]	,----- FRAME: 13064 time: 1.84ms Moving avg: 9.09ms 30 frames since last 
[2022-04-03 13:07:27]	,        UIManager_ProcessInput, 20.82 ms
[2022-04-03 13:07:27]	,----- FRAME: 13107 time: 3.43ms Moving avg: 10.75ms 44 frames since last 
[2022-04-03 13:07:28]	,        UIManager_ProcessInput, 131.58 ms
[2022-04-03 13:07:28]	,----- FRAME: 13149 time: 2.84ms Moving avg: 13.75ms 43 frames since last 
[2022-04-03 13:07:28]	,    UIManager_ProcessInput, 21.61 ms
[2022-04-03 13:07:28]	,----- FRAME: 13176 time: 1.93ms Moving avg: 9.86ms 28 frames since last 
[2022-04-03 13:07:29]	,    UIManager_ProcessInput, 129.49 ms
[2022-04-03 13:07:29]	,----- FRAME: 13218 time: 2.49ms Moving avg: 9.83ms 43 frames since last 
[2022-04-03 13:07:30]	,UIManager_ProcessInput, 19.72 ms
